Name,Type,Firemode,Max Ammo,Magazine Size,Damage,Precision Multiplier,Precision Damage,Stagger Multiplier,Damage Per Mag,Precision Per Mag,Headshot Damage,Back Headshot Damage,Reload Time (s),Range (m),Pierces
Techman Klust 6,Burst Cannon,Burst,65,20,19,0.73,13.87,1,380,277.4,27.74,138.7,,15,
Buckland S870,Shotgun,Semi-Automatic,28,8,30.1,1,30.1,1,240.8,240.8,60.2,301,3,4,
Techman Arbalist V,Machine Gun,Automatic,169,40,5.35,0.7413,3.965955,1,214,158.6382,7.93191,39.65955,3.5,15,
Techman Veruta XII,Machine Gun,Automatic,260,60,3.51,0.7413,2.601963,1.45,210.6,156.11778,5.203926,26.01963,4,15,
Buckland AF6,Combat Shotgun,Automatic,69,12,15.06,0.875,13.1775,2,180.72,158.13,26.355,131.775,2.83,5,
Shelling Arid 5,High Caliber Pistol,Semi-Automatic,35,6,25.1,0.7413,18.60663,1,150.6,111.63978,37.21326,186.0663,2.5,8,
Malatack HXC,Heavy Assault Rifle,Automatic,149,30,5.01,0.8,4.008,1,150.3,120.24,8.016,40.08,2.3,12,
Omneco LRG,HEL Rifle,Semi-Automatic,28,5,30.01,0.73,21.9073,1,150.05,109.5365,43.8146,219.073,3.2,40,x
Omneco EXP1,HEL Gun,Semi-Automatic,44,9,16.25,0.8,13,1,146.25,117,26,130,3.3,15,x
Buckland XDIST2,Choke Mod Shotgun,Semi-Automatic,27,4,30.08,1,30.08,1.35,120.32,120.32,60.16,300.8,2.72,15,
Koning PR 11,Sniper,Semi-Automatic,13,3,40.01,2.0025,80.120025,1,120.03,240.360075,160.24005,801.20025,3.5,60,
Drekker Del P1,Precision Rifle,Automatic,49,8,11.4,1.3,14.82,1,91.2,118.56,29.64,148.2,3.3,30,
Mastaba R66,Revolver,Semi-Automatic,52,6,14.21,0.7413,10.533873,1,85.26,63.203238,21.067746,105.33873,1.75,12,
